auc
-1.9407320187836015
-1.9577972321462358
-1.9729813689357674
-2.029436311085237
-2.03444127805744
-2.04450254104766
-2.05551877677556
-2.0928063911196237
-2.0937633176431727
-2.099059859985187
-2.6647273699361507
-2.7299842393025946
-2.758172515935297
-2.7962043384215196
