metrics,ours-BCE,ours-MSE,DEAL_emb,MAE_emb,DEAL_emb_x,MAE_emb_x,DEAL_decoder,MAE_decoder
AUC,0.88,0.85,0.82,0.84,0.86,0.86,,
Accuracy,0.58,0.57,0.43,0.61,0.59,0.60,,
AP,0.55,0.47,0.42,0.51,0.49,0.54,,
Precision,0.64,0.58,0.53,0.67,0.61,0.69,,
Recall,0.93,0.87,0.87,0.81,0.88,0.84,,
F1-score,0.62,0.59,0.52,0.65,0.64,0.61,,
