metrics,ours-BCE,ours-MSE,DEAL_emb,MAE_emb,DEAL_emb_x,MAE_emb_x,DEAL_decoder,MAE_decoder
AUC,0.95,0.94,0.79,0.84,0.86,0.93,0.53115,0.512825
Accuracy,0.84,0.85,0.71,0.68,0.75,0.87,0.505,0.5125
AP,0.93,0.92,0.78,0.81,0.85,0.92,0.5484467141,0.5373835817
Precision,0.95,0.93,0.68,0.61,0.79,0.86,0.505952381,0.5112107623
Recall,0.72,0.75,0.78,0.97,0.68,0.87,0.425,0.57
HR,0.95,0.98,0.80,0.85,0.93,0.93,0.575,0.5625
