metrics,GiGaMAE,VGAE
AUC,0.9607029972,0.94
Accuracy,0.9418300654,0.72
AP,0.8743535826,0.79
Precision,0.9418349575,0.82
Recall,0.9418300654,0.72
F1-score,0.9418300654,0.72
