metrics,ours-BCE,ours-MSE,DEAL_emb,MAE_emb,DEAL_emb_x,MAE_emb_x,DEAL_decoder,MAE_decoder
AUC,0.88,0.86,0.73,0.76,0.86,0.78,0.5267,0.448625
Accuracy,0.81,0.80,0.68,0.68,0.76,0.71,0.5125,0.455
AP,0.90,0.89,0.73,0.76,0.86,0.76,0.5038602872,0.4781819663
Precision,0.93,0.92,0.75,0.73,0.89,0.77,0.5138121547,0.4476744186
Recall,0.66,0.66,0.53,0.56,0.59,0.60,0.465,0.385
HR,0.98,0.98,0.73,0.80,0.95,0.85,0.475,0.4625
