metrics,GiGaMAE,VGAE
AUC,0.8373093416,0.92
Accuracy,0.7563909774,0.82
AP,0.5864842842,0.80
Precision,0.7514354383,0.82
Recall,0.7563909774,0.82
F1-score,0.7563909774,0.77
