metrics,ours-BCE,ours-MSE,DEAL_emb,MAE_emb,DEAL_emb_x,MAE_emb_x,DEAL_decoder,MAE_decoder
AUC,0.70,0.59,0.50,0.50,0.49,0.50,,
Accuracy,0.10,0.01,0.00,0.00,0.00,0.00,,
AP,0.22,0.16,0.14,0.14,0.14,0.14,,
Precision,0.31,0.22,0.20,0.20,0.20,0.20,,
Recall,0.90,0.93,1.00,1.00,0.99,1.00,,
F1-score,0.29,0.12,0.07,0.07,0.07,0.07,,
