metrics,ours-BCE,ours-MSE,DEAL_emb,MAE_emb,DEAL_emb_x,MAE_emb_x,DEAL_decoder,MAE_decoder
AUC,0.94,0.95,0.88,0.99,0.92,0.99,0.769075,0.96195
Accuracy,0.83,0.86,0.76,0.93,0.82,0.92,0.6975,0.8725
AP,0.95,0.96,0.88,0.99,0.91,0.99,0.7711131805,0.9610893971
Precision,0.92,0.95,0.88,0.97,0.92,0.99,0.708994709,0.890052356
Recall,0.72,0.75,0.59,0.88,0.69,0.85,0.67,0.85
HR,1.00,1.00,0.98,1.00,0.93,1.00,0.8625,1
